  
 Model:
  LAYER     H(km)     Vp(km/s)     Vs(km/s)  Density     QA(inv)     QB(inv)
        T = 0.4348E+01 C =    0.2790E+01 U   = 0.2259E+01
        AL= 0.1446E-01 GAMMA= 0.1066E-02 ZREF= 0.0000E+00
    M       UT         TT       DC/DH      DC/DB      DC/DR
    1   0.100E+01  0.000E+00 -0.166E+00  0.380E+00 -0.778E-01
    2   0.953E+00 -0.108E+01 -0.166E+00  0.337E+00 -0.491E-01
    3   0.815E+00 -0.206E+01 -0.166E+00  0.267E+00 -0.224E-02
    4   0.601E+00 -0.284E+01 -0.166E+00  0.195E+00  0.454E-01
    5   0.330E+00 -0.336E+01  0.000E+00  0.834E-01  0.291E-01
    6   0.242E+00 -0.246E+01  0.000E+00  0.447E-01  0.156E-01
    7   0.177E+00 -0.180E+01  0.000E+00  0.240E-01  0.837E-02
    8   0.130E+00 -0.132E+01  0.000E+00  0.129E-01  0.449E-02
    9   0.950E-01 -0.967E+00  0.000E+00  0.692E-02  0.241E-02
   10   0.696E-01 -0.708E+00  0.000E+00  0.371E-02  0.129E-02
   11   0.510E-01 -0.519E+00  0.000E+00  0.199E-02  0.695E-03
   12   0.374E-01 -0.380E+00  0.000E+00  0.107E-02  0.373E-03
   13   0.274E-01 -0.279E+00  0.000E+00  0.574E-03  0.200E-03
   14   0.201E-01 -0.204E+00  0.000E+00  0.308E-03  0.107E-03
   15   0.147E-01 -0.149E+00  0.000E+00  0.165E-03  0.576E-04
   16   0.108E-01 -0.110E+00  0.000E+00  0.887E-04  0.309E-04
   17   0.788E-02 -0.802E-01  0.000E+00  0.476E-04  0.166E-04
   18   0.578E-02 -0.588E-01  0.000E+00  0.256E-04  0.891E-05
   19   0.423E-02 -0.431E-01  0.000E+00  0.137E-04  0.478E-05
   20   0.310E-02 -0.315E-01  0.000E+00  0.736E-05  0.257E-05
   21   0.227E-02 -0.231E-01  0.000E+00  0.395E-05  0.138E-05
   22   0.166E-02 -0.169E-01  0.000E+00  0.212E-05  0.739E-06
   23   0.122E-02 -0.124E-01  0.000E+00  0.114E-05  0.397E-06
   24   0.893E-03 -0.909E-02  0.000E+00  0.611E-06  0.213E-06
   25   0.654E-03 -0.666E-02  0.000E+00  0.328E-06  0.114E-06
   26   0.479E-03 -0.488E-02  0.000E+00  0.176E-06  0.613E-07
   27   0.351E-03 -0.357E-02  0.000E+00  0.945E-07  0.329E-07
   28   0.257E-03 -0.262E-02  0.000E+00  0.507E-07  0.177E-07
   29   0.188E-03 -0.192E-02  0.000E+00  0.272E-07  0.948E-08
